Title,Title_URL,Image,Info,badgetext,ratingdate,partial_entry,View,Number,note,viamobile,talnk
A repeat offender.,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r200769118-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/5d/default-avatar-2020-32.jpg,261151,108 reviews,Reviewed 12 April 2014 ,"Not the restaurant as the offender but me!
The tried and tested formula works a treat with well priced authentic Thai food with wonderful service. 
I usually have a few cold pots of beer at the Half Moon over the road then grab a nice...More",Date of visit: March 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"Lovely food, comfortable ambience, not too loud.",https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r197536763-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/01/e9/d7/94/stephendigby.jpg,melbournian1950s,164 reviews,Reviewed 16 March 2014 ,"Delightful Green chicken curry, vegetarian cury puffs and spring rolls. Beef Pad Grapow (?) was superb.  Very good service - quick and helpful.  Highly recommend.",Date of visit: March 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Great Service & Food,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r193817137-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/a9/default-avatar-2020-50.jpg,Garry L,7 reviews,Reviewed 12 February 2014 ,"Great fresh traditional Thai. We were a party of four and we all agreed we will return. The food was fresh, well cooked, prompt and well priced.",Date of visit: February 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Great Thai Food,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r188842713-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/5b/default-avatar-2020-61.jpg,AussieSuz,3 reviews,Reviewed 29 December 2013 ,Busy little restaurant.  Great in service and take out.  May need reservations.  Stir fry dishes very good.  Good for vegetarians.  Fun and trendy place.,Date of visit: August 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Maggie8,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r167224830-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/7c/default-avatar-2020-29.jpg,Maggie R,1 review,Reviewed 12 July 2013 ,"I had dinner with my friend to celebrate her birthday, and I must admit that I really enjoyed the food and service. The waitress recommended me to try duck curry, and it was amazing. The duck is very tender, and the curry is exceptionally tasty....More",Date of visit: July 2013,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Am I in Bangkok or Brighton?,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r163649628-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/07/20/fb/43/vic-r.jpg,Vic R,19 reviews,Reviewed 11 June 2013 ,"First time here, but definitely not the last. From the warm welcoming smiles, comfortable atmosphere and menu...hard to go past. I recommend the pad Thai...better than in Bangkok.",Date of visit: June 2013,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Fantastic Thai,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r157146641-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/0a/default-avatar-2020-35.jpg,Beachgirlalways,74 reviews,Reviewed 9 April 2013 ,This is a Brighton favourite and easy to understand why. Beautiful and consistently good Thai food whether you eat in or take away. Very generous serves of both entree and main and a great variety of both menu staples and specials. The duck curry is...More,Date of visit: February 2013,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Consistently great thai food,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r143957717-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/11/default-avatar-2020-41.jpg,Pip1725,6 reviews,Reviewed 29 October 2012 ,"I've eaten here a few times and it is amazing. Great value, superb food, and byo wine. Highly recommended! Excellent service and atmosphere.",Date of visit: August 2012,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Good relaxed local Asian restarant,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r137735952-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/01/81/72/54/travelitchfamily.jpg,Rena G,36 reviews,Reviewed 20 August 2012 ,"We go because the food is good, not too pricey & it isn't glitzy. You don't need to dress up. It's in Brighton, but could just as easily be in Carlton.",,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Noisy and squishy,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r124494447-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/15/4f/5a/0c/caption.jpg,mickenmelbourne,262 reviews,Reviewed 13 February 2012 ,"Good, tasty food but not the sort of restaurant to spend an evening chatting over dinner and drinks!  We were squashed in to a table by the window and could barely hear each other speak.  They were pumping the food out though especially takeaways.  We...More",Date of visit: February 2012,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
